buyer_id,buyer_type,nationality,age,gender,monthly_income_thb,funding_source,purchase_purpose,target_location,target_condo_type,desired_unit_size_sqm,budget_thb,amenity_priority,mortgage_approval_status,expected_rental_yield_pct,outlier_flag,rating_location_accessibility,rating_price_affordability,rating_amenities_facilities,rating_building_quality_design,rating_transport_connectivity,rating_legal_ownership,rating_resale_investment,rating_neighborhood_character,rating_developer_reputation,rating_market_trends
1,Local,Thai,45,Female,45225,Bank Loan,Own Use,Other Fringe,2BR,83,5719729,Co-working,Rejected,0.0514,0,2,3,5,4,2,2,3,5,1,3
2,Foreign,China,56,Female,60000,Cash,Own Use,Ari/Phahonyothin,3BR,124,13532311,Co-working,N/A,0.0476,0,4,1,4,5,5,5,3,5,3,2
3,Local,Thai,41,Female,70513,Cash + Loan,Own Use,Rama9/Ratchada,Studio,25,3444315,Gym,Rejected,0.0493,0,1,1,4,4,1,4,5,4,2,3
4,Local,Thai,38,Male,15000,Cash,Mixed,Rama9/Ratchada,Studio,27,4433638,Gym,Approved,0.0484,0,3,4,3,5,5,4,3,1,2,4
5,Local,Thai,41,Female,16656,Cash,Mixed,Sathorn,1BR,47,9356113,Gym,Approved,0.0466,0,3,4,3,3,3,3,3,2,2,4
6,Local,Thai,41,Male,60257,Bank Loan,Investment,Other Fringe,2BR,88,5726740,Gym,Approved,0.0505,0,4,4,1,3,3,4,5,1,3,2
7,Local,Thai,40,Male,15000,Cash + Loan,Own Use,Ari/Phahonyothin,1BR,44,5089908,Gym,Approved,0.0473,0,5,2,4,5,5,2,5,5,2,3
8,Foreign,Russia,48,Female,277399,Offshore Loan,Investment,Thonglor,2BR,80,20014733,Pool,N/A,0.0458,0,2,3,5,3,4,5,5,5,3,3
9,Local,Thai,28,Male,31039,Bank Loan,Own Use,Thonglor,2BR,81,12000000,EV Charging,Approved,0.0431,0,1,1,5,4,5,1,1,5,2,3
10,Local,Thai,37,Male,43320,Bank Loan,Own Use,Sathorn,1BR,41,6749143,Co-working,Approved,0.0475,0,1,5,4,5,2,5,3,4,4,3
