
5,Local,Thai,41,Female,16656,Cash,Mixed,Sathorn,1BR,47,9356113,Gym,Approved,0.0466,0,3,4,3,3,3,3,3,2,2,4
6,Local,Thai,41,Male,60257,Bank Loan,Investment,Other Fringe,2BR,88,5726740,Gym,Approved,0.0505,0,4,4,1,3,3,4,5,1,3,2
7,Local,Thai,40,Male,15000,Cash + Loan,Own Use,Ari/Phahonyothin,1BR,44,5089908,Gym,Approved,0.0473,0,5,2,4,5,5,2,5,5,2,3
8,Foreign,Russia,48,Female,277399,Offshore Loan,Investment,Thonglor,2BR,80,20014733,Pool,N/A,0.0458,0,2,3,5,3,4,5,5,5,3,3
9,Local,Thai,28,Male,31039,Bank Loan,Own Use,Thonglor,2BR,81,12000000,EV Charging,Approved,0.0431,0,1,1,5,4,5,1,1,5,2,3
10,Local,Thai,37,Male,43320,Bank Loan,Own Use,Sathorn,1BR,41,6749143,Co-working,Approved,0.0475,0,1,5,4,5,2,5,3,4,4,3
11,Local,Thai,47,Male,25203,Cash + Loan,Investment,Sathorn,2BR,63,9739544,Gym,Rejected,0.0479,0,4,1,1,3,3,3,5,5,1,1
12,Foreign,France,54,Female,136769,Offshore Loan,Own Use,Other Fringe,1BR,48,2373416,Pool,N/A,0.052,0,3,3,5,5,5,5,1,4,3,3
13,Local,Thai,45,Female,27731,Bank Loan,Investment,Sukhumvit CBD,2BR,76,12000000,Co-working,Rejected,0.0431,0,3,4,4,1,3,2,5,1,3,1
14,Local,Thai,53,Female,54422,Bank Loan,Mixed,Sukhumvit CBD,1BR,36,6111829,Pool,Approved,0.0465,0,5,2,3,4,4,4,4,4,1,2
15,Local,Thai,32,Male,91210,Cash,Own Use,Sathorn,Penthouse,227,12000000,Co-working,Approved,0.0449,0,2,1,4,5,2,4,2,4,4,3
16,Local,Thai,41,Female,23005,Cash,Investment,Sukhumvit CBD,2BR,66,11798868,Pool,Approved,0.0444,0,1,5,1,1,3,3,5,3,1,4
17,Local,Thai,41,Female,30087,Cash + Loan,Mixed,Lat Phrao,3BR,121,10692352,Co-working,Approved,0.052,0,4,2,4,5,2,1,4,4,3,3
18,Local,Thai,52,Male,26971,Cash,Mixed,Bang Na,2BR,60,4444768,Gym,Rejected,0.0516,0,5,1,3,4,4,4,3,2,2,1
19,Local,Thai,52,Male,15000,Cash + Loan,Investment,Bang Na,1BR,30,2716506,Co-working,Approved,0.052,0,2,3,4,3,3,2,4,4,2,3
20,Local,Thai,41,Male,49692,Bank Loan,Investment,Lat Phrao,2BR,60,6432865,Pool,Rejected,0.0492,0,1,1,1,3,4,1,5,5,4,4
